,Content ID, Reaction Type, Content Type,Category
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,Studying
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,Studying
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,photo,Studying
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,Studying
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,Studying
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,Studying
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,Studying
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,photo,Studying
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,photo,Studying
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,Studying
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,Studying
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,Studying
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,Studying
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,Studying
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,Studying
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,Studying
